row_id,source,local_copy,decision,reason,size_bytes
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/urbansci-07-00022.pdf,paper/urbansci-07-00022.pdf,include_paper_reference_for_local_audit,Published MDPI Urban Science paper reference copy; review redistribution rights before public GitHub release.,1626145
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2016/r_r_d.mat (identical to corr_lag5_2006/r_r_d.mat),code/legacy/data_code/matlab_correlation_workflow/common_inputs/r_r_d.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",5098985
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2016/r_r_d_select.mat (identical to corr_lag5_2006/r_r_d_select.mat),code/legacy/data_code/matlab_correlation_workflow/common_inputs/r_r_d_select.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",4203585
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2016/w_r_d.mat (identical to corr_lag5_2006/w_r_d.mat),code/legacy/data_code/matlab_correlation_workflow/common_inputs/w_r_d.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",2848900
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2016/w_r_d_select.mat (identical to corr_lag5_2006/w_r_d_select.mat),code/legacy/data_code/matlab_correlation_workflow/common_inputs/w_r_d_select.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",1037690
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag1/correlation20190417.m,code/legacy/data_code/matlab_correlation_workflow/corr_lag1/correlation20190417.m,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",3798
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag1/number_h_per_den.mat,code/legacy/data_code/matlab_correlation_workflow/corr_lag1/number_h_per_den.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",505909
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag1/number_w_per_den.mat,code/legacy/data_code/matlab_correlation_workflow/corr_lag1/number_w_per_den.mat,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",290276
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2006/corr_r_r_20200218.m,code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_r_r_20200218.m,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",3345
paper-2023-05,/Users/dlev2617/Documents/Papers/~05-Published/Urban Science/Urban Science - Interaction between development intensity/Data/corr_lag5_2006/corr_r_w_20200218.m,code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_r_w_20200218.m,include_public_package_candidate,"User-supplied 2023-05 development-intensity data/code folder; compact, non-human-subject MATLAB derived matrix workflow.",3343
