package_path,folder,file,asset_type,variable_or_script,hdf5_shape,matlab_logical_dimensions,dtype_or_language,compression,description,notes
code/legacy/data_code/matlab_correlation_workflow/common_inputs/r_r_d.mat,common_inputs,r_r_d.mat,matlab_v7_3_hdf5_data,r_r_d,17 x 54378,54378 x 17,float64,gzip,Shared full derived density input matrix used by both 2006 and 2016 lag-5 workflows; per-folder filenames are symlinks to this common copy.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/common_inputs/r_r_d_select.mat,common_inputs,r_r_d_select.mat,matlab_v7_3_hdf5_data,r_r_d_select,17 x 33705,33705 x 17,float64,gzip,Shared selected/subset derived density input matrix used by both 2006 and 2016 lag-5 workflows; per-folder filenames are symlinks to this common copy.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/common_inputs/w_r_d.mat,common_inputs,w_r_d.mat,matlab_v7_3_hdf5_data,w_r_d,17 x 54378,54378 x 17,float64,gzip,Shared full derived density input matrix used by both 2006 and 2016 lag-5 workflows; per-folder filenames are symlinks to this common copy.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/common_inputs/w_r_d_select.mat,common_inputs,w_r_d_select.mat,matlab_v7_3_hdf5_data,w_r_d_select,17 x 8210,8210 x 17,float64,gzip,Shared selected/subset derived density input matrix used by both 2006 and 2016 lag-5 workflows; per-folder filenames are symlinks to this common copy.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag1/correlation20190417.m,corr_lag1,correlation20190417.m,matlab_script,correlation20190417.m,,,MATLAB,,Computes within/between home and workplace density correlation matrices and lag-1 variants from number_h_per_den and number_w_per_den.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag1/number_h_per_den.mat,corr_lag1,number_h_per_den.mat,matlab_v7_3_hdf5_data,number_h_per_den,15 x 4782,4782 x 15,float64,gzip,"Inferred home/residential worker density panel by census block; first column appears to be block identifier, remaining columns are time-series density values.",MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag1/number_w_per_den.mat,corr_lag1,number_w_per_den.mat,matlab_v7_3_hdf5_data,number_w_per_den,15 x 3823,3823 x 15,float64,gzip,"Inferred workplace/job density panel by census block; first column appears to be block identifier, remaining columns are time-series density values.",MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_r_r_20200218.m,corr_lag5_2006,corr_r_r_20200218.m,matlab_script,corr_r_r_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_r_w_20200218.m,corr_lag5_2006,corr_r_w_20200218.m,matlab_script,corr_r_w_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_w_r_20200218.m,corr_lag5_2006,corr_w_r_20200218.m,matlab_script,corr_w_r_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
